candidate,k,n_basis_truncated,n_basis_native,n_basis_actual,seed,sigma_final,sigma_fs_identity,residual_donaldson,iterations_run,elapsed_s
Schoen,3,15,27,15,314,6.4455279332e2,5.2477688132e1,7.8476675306e-7,39,3.316380
Schoen,3,15,27,15,666,1.1245687779e1,8.6162263234e0,7.6143844697e-7,24,2.135130
Schoen,3,15,27,15,1000,1.0515416094e1,7.9015366644e0,9.2964886360e-7,43,3.659243
Schoen,3,15,27,15,2024,2.6975597098e1,1.5569544817e1,8.8814694510e-7,33,2.861440
Schoen,3,15,27,15,4242,3.2475661949e3,6.8730665585e3,1.3267328697e-4,17,2.242369
Schoen,3,15,27,15,57005,1.2319258444e2,1.9403590797e1,8.1332792887e-7,53,4.415196
Schoen,3,15,27,15,48879,1.6399566285e1,1.1896503778e1,7.1535367055e-7,22,2.024140
Schoen,3,15,27,15,51966,9.1724216343e1,7.9466166980e1,5.9455190557e-7,26,2.283554
Schoen,3,20,27,20,42,1.2884947600e2,1.1101708996e1,8.8921857835e-7,46,4.875129
Schoen,3,20,27,20,100,2.5204284787e1,1.0142060784e1,4.4713149565e-3,13,2.427653
Schoen,3,20,27,20,12345,8.2272953495e0,1.2719787519e1,8.8156594198e-7,17,1.999683
Schoen,3,20,27,20,7,1.0083112116e1,6.2684063860e0,8.6678585374e-7,56,5.888155
Schoen,3,20,27,20,99,3.5977550664e1,4.9169313304e1,7.1964563433e-7,27,2.979479
Schoen,3,20,27,20,1,1.0540082810e1,6.8657618568e0,6.4408577634e-7,23,2.552797
Schoen,3,20,27,20,2,4.3971624657e1,5.5545590902e1,9.6340670187e-7,27,2.955233
Schoen,3,20,27,20,3,8.8580491745e2,3.6125733108e3,7.3525335882e-7,24,2.746979
Schoen,3,20,27,20,4,8.2460812771e0,1.0910546002e1,6.6322000105e-7,22,2.485498
Schoen,3,20,27,20,5,1.1666723628e2,8.9149366047e2,2.9043772437e-6,21,3.474218
Schoen,3,20,27,20,137,5.8616856900e0,6.6566435258e0,7.9802938607e-7,22,2.516563
Schoen,3,20,27,20,271,2.6123356281e1,2.8117479579e1,5.0274001687e-5,100,10.328542
Schoen,3,20,27,20,314,1.2007176188e1,1.0675591339e1,9.7899104732e-7,60,6.353008
Schoen,3,20,27,20,666,5.0845195305e1,1.3241514773e2,6.6671640580e-7,24,2.756288
Schoen,3,20,27,20,1000,2.2385824399e1,1.3201688630e1,8.9275553748e-7,59,6.234534
Schoen,3,20,27,20,2024,7.7561123995e0,5.5319217813e0,7.4767216345e-7,35,3.766304
Schoen,3,20,27,20,4242,2.4799067227e1,3.6525679794e1,2.5355090017e-4,14,2.449189
Schoen,3,20,27,20,57005,1.3568891371e1,5.7567462438e1,1.1370205964e-6,100,10.399847
Schoen,3,20,27,20,48879,5.1338122772e0,5.9852538182e0,9.4580592936e-7,19,2.215203
Schoen,3,20,27,20,51966,2.1278144952e2,3.1856331141e2,7.8661045822e-7,19,2.210571
Schoen,3,25,27,25,42,1.0083242554e1,4.6973925716e0,6.8407613649e-7,30,5.341553
Schoen,3,25,27,25,100,1.4003350348e1,4.8546418516e0,1.7629813017e-3,12,3.424230
Schoen,3,25,27,25,12345,4.1498644152e0,4.2314705856e0,6.7772843490e-7,18,3.401684
Schoen,3,25,27,25,7,6.0358677340e0,3.1800862846e0,3.4200622651e-5,100,17.624442
Schoen,3,25,27,25,99,1.0302899089e1,7.4021858089e0,9.3733984730e-7,28,5.074698
Schoen,3,25,27,25,1,8.9192474068e0,5.8059724615e0,8.8706172473e-7,22,3.990020
Schoen,3,25,27,25,2,7.9756898072e0,8.1696437893e0,8.8566167112e-7,20,3.711616
Schoen,3,25,27,25,3,1.2307448752e4,7.0981393489e3,6.9569882694e-7,26,4.771585
Schoen,3,25,27,25,4,4.9272789172e0,3.5246538502e0,7.1256429905e-7,22,4.079414
Schoen,3,25,27,25,5,6.1162177677e1,3.8341135711e1,3.4630296086e-5,20,5.618701
Schoen,3,25,27,25,137,8.7577899001e0,1.1676270361e1,6.4966507798e-7,22,4.069760
Schoen,3,25,27,25,271,9.1515022894e0,9.3871987658e0,9.7477328066e-7,51,8.901949
Schoen,3,25,27,25,314,1.2595072192e1,1.1816601268e1,3.3462035936e-5,100,17.251736
Schoen,3,25,27,25,666,7.7834490171e0,5.5704370907e0,9.2165803087e-7,25,4.624842
Schoen,3,25,27,25,1000,1.3658483962e1,5.3549082743e0,2.4146022813e-5,100,17.277260
